2018-03-23 16:25:21,b'@TomDown3 @SadiqKhan Laughable.\n\nBoys getting cut and shot all over London and he wants to warn west ham over a few\xe2\x80\xa6 https://t.co/KwLoZEHctk'
2018-03-23 16:25:16,b'RT @MigrantVoiceUK: \xe2\x80\x98Ministers\xe2\x80\x99 narrow focus on #ethnicity and #migration continues the misleading impression that social #integration is m\xe2\x80\xa6'
2018-03-23 16:25:09,b'RT @Cabbieabouttown: Seriously @SadiqKhan @ValShawcross @TfLTPH @TfL\nYou people continue to let this Unlicensed Operation serve the public.\xe2\x80\xa6'
2018-03-23 16:25:06,"b'RT @RobertDobbin3: @ainemichellel @Councillorsuzie @SadiqKhan sounds like..all talk..and as the police have said themselves, they are, as h\xe2\x80\xa6'"
2018-03-23 16:24:53,b'@SenayTunsay @debraodutuyo @Ejanecole @Dickyboy_adams @Se_Railway @SadiqKhan @TfLRail @Se_Railway please clarify wh\xe2\x80\xa6 https://t.co/7BQRk22EYZ'
2018-03-23 16:24:32,"b'This Brave Woman needs to be listened to. NOT labelled as a ""Hate"" Preacher! @SadiqKhan https://t.co/pZz8mG7JL9'"
2018-03-23 16:24:31,"b'Real @SadiqKhan real socialist state, real issues. https://t.co/dOnzfgHglT'"
2018-03-23 16:24:02,b'RT @DavidMc97132143: @ainemichellel @Councillorsuzie @SadiqKhan Khan points out all the cross agency work that is going on but what is actu\xe2\x80\xa6'
2018-03-23 16:24:01,b'@Sakadhaj @Nick__Ebdon @SadiqKhan You know very well what he means'
2018-03-23 16:23:39,"b'RT @kingbill73: The Tory attacks on @SadiqKhan are disgraceful. Attack someone for their policies by all means, but they are trying failed\xe2\x80\xa6'"
2018-03-23 16:23:20,b'RT @Sideways_On: @AgrippaSPQR @ainemichellel @Councillorsuzie @SadiqKhan Not one single prosecution. Speaks for itself'
2018-03-23 16:23:13,"b'RT @AgrippaSPQR: @ainemichellel @Councillorsuzie @SadiqKhan Q. What are you doing about FGM?\nA. Blah blah, multi agency, blah blah, working\xe2\x80\xa6'"
2018-03-23 16:22:57,"b'RT @kingbill73: The Tory attacks on @SadiqKhan are disgraceful. Attack someone for their policies by all means, but they are trying failed\xe2\x80\xa6'"
2018-03-23 16:22:41,"b'RT @kingbill73: The Tory attacks on @SadiqKhan are disgraceful. Attack someone for their policies by all means, but they are trying failed\xe2\x80\xa6'"
2018-03-23 16:22:18,b'RT @Robertwhitehou1: @ainemichellel @Councillorsuzie @SadiqKhan Khan is utterly clueless - except when it comes to organising self-publicit\xe2\x80\xa6'
2018-03-23 16:22:11,"b""RT @LiarMPs: Poll results are in. @SadiqKhan \n\n92% of people polled think you're shit at your job. https://t.co/zmb5ce8e8f"""
2018-03-23 16:22:09,b'RT @Britinfloridaus: @ainemichellel @Councillorsuzie @SadiqKhan Cheap point. Odd that ofsted inspectors are asking schools how they are tea\xe2\x80\xa6'
2018-03-23 16:22:05,"b""@johnfra76927790 @TomDown3 @SadiqKhan With the amount of support he's building up in London he probably will. He's\xe2\x80\xa6 https://t.co/h6bDP8kC5U"""
2018-03-23 16:22:03,b'RT @SadiqKhan: Labour is going from strength to strength across our city. Looking forward to another weekend out and about across London wi\xe2\x80\xa6'
2018-03-23 16:21:45,b'https://t.co/UTTtQkcgVh \n@ShaziaHobbs Big love #freespeech #ExMuslim @SadiqKhan you silly sausage'
2018-03-23 16:21:35,b'RT @DianaHarding7: @ainemichellel @Councillorsuzie @SadiqKhan Unfortunately Mayor Khan is in the habit of treating assembly members with co\xe2\x80\xa6'
2018-03-23 16:21:11,b'RT @Councillorsuzie: @ReshamKotecha @pricklypilgrim @joerichlaw @ainemichellel @SadiqKhan @NimkoAli Yes #fgm is far worse than many fear. I\xe2\x80\xa6'
2018-03-23 16:21:01,"b'RT @Councillorsuzie: @pricklypilgrim @joerichlaw @ReshamKotecha @ainemichellel @SadiqKhan @NimkoAli No we should not,  FGM is abhorrent and\xe2\x80\xa6'"
2018-03-23 16:21:01,b'RT @mattyday2015: @piersmorgan @DannyWoodland @SadiqKhan Prob support the criminals in court as their lawyer'
2018-03-23 16:20:54,b'@SadiqKhan \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 @davidkurten  really put you in your place!    Prediction: you will NEVER be re-elcted..NEVER.'
2018-03-23 16:20:43,"b""RT @ISM_music: We welcome @SadiqKhan's campaign, Sounds Like London, to support the capital\xe2\x80\x99s grassroots music venues. Find out more about\xe2\x80\xa6"""
2018-03-23 16:20:22,b'RT @joerichlaw: @ReshamKotecha @ainemichellel @Councillorsuzie @SadiqKhan @NimkoAli It is well-known that London now has the highest propor\xe2\x80\xa6'
2018-03-23 16:20:13,"b""@TomDown3 @Whufcirons1 @SadiqKhan Ain't that the truth.  Three flew over tge cuckoos nest. #boardout"""
2018-03-23 16:19:54,b'@theJeremyVine @willnorman @SadiqKhan @DonnachadhMc @EveningStandard @George_Osborne Is that the same paper run by\xe2\x80\xa6 https://t.co/G1c30LOQ2D'
2018-03-23 16:19:49,"b'RT @ainemichellel: .@Councillorsuzie rightly points out that out of the 99 pages in @SadiqKhan\xe2\x80\x99s Violence Against Women and Girls Strategy,\xe2\x80\xa6'"
2018-03-23 16:19:35,"b""We welcome @SadiqKhan's campaign, Sounds Like London, to support the capital\xe2\x80\x99s grassroots music venues. Find out mo\xe2\x80\xa6 https://t.co/Ma4OCau2t0"""
2018-03-23 16:19:34,b'RT @Ejanecole: @SenayTunsay @Dickyboy_adams @Se_Railway @SadiqKhan @TfLRail tflwhen will you take over from @Se_Railway ?? This is dangerou\xe2\x80\xa6'
2018-03-23 16:19:28,b'RT @Therapyangel1: @MertonMatters @MMLabour @WimbledonLabour @WimbledonNews @LondonAssembly @SadiqKhan @SaveWimbledon @MertonTories @nigelb\xe2\x80\xa6'
2018-03-23 16:19:28,"b'RT @PhoenixEvolve: @TRobinsonNewEra We need to accept that FGM is a thing and is cool. We should arrange a #FGMFriday , invite @SadiqKhan a\xe2\x80\xa6'"
2018-03-23 16:18:47,"b'@LadyMercia @gazcon @SadiqKhan @ForBritainParty @AMDWaters It\xe2\x80\x99s like having to choose from being shot, hung or death by a thousand cuts.'"
